#,CodeSignaler,Level,Country,XP
394,trent_pl,Level 81,United States,432180
395,chuck3,Level 81,United States,431850
396,matt_w28,Level 81,United States,430532
397,fahrettinfiliz,Level 81,Turkey,430435
398,kishan_madhwani,Level 81,India,429973
399,gavin_patient,Level 81,United States,429287
400,n-holmes,Level 81,United Kingdom,428525
401,Melroy_T,Level 81,India,428488
402,dnl-blkv,Level 81,Norway,428227
403,amh,Level 81,United States,428196
404,hieunt1980,Level 81,Vietnam,426823
405,nanesaroyan,Level 81,Armenia,426096
406,sandeep_v1,Level 81,United States,425670
407,elt,Level 81,Mexico,425651
408,rikikudo,Level 81,Vietnam,423509
409,arquimides,Level 81,Mexico,422937
410,osaxaath,Level 81,Germany,422529
411,taguhiabgar,Level 81,Armenia,421999
412,gugo,Level 81,Vietnam,421330
413,stevexx,Level 81,China,421221
414,tamas_d,Level 81,Sweden,421190
415,zunnbii,Level 81,Vietnam,420734
416,ioannes,Level 81,Greece,419989
417,lexuanan,Level 81,Vietnam,419638
418,simonas_m,Level 81,Lithuania,419385
419,prashant_doshi,Level 81,India,419204
420,gamezovladislav,Level 81,Belarus,416748
421,evan15,Level 81,United States,415747
422,marc_l3,Level 81,Germany,412109
423,sandeep_menon,Level 81,India,412101
424,f3anor,Level 81,United States,411910
425,lee-ow,Level 81,United States,411566
426,elastocat,Level 81,Jamaica,410665
427,aries_qin,Level 81,China,410582
428,vahe_h2,Level 81,Armenia,410236
429,bone87,Level 81,Serbia,410090
430,Fcdkbear,Level 81,Ukraine,409843
431,nguythang,Level 81,Vietnam,409685
432,mathgeek,Level 81,United States,409587
433,Omar22,Level 81,Egypt,409186
434,sycu,Level 80,Poland,408851
435,Pingal_T,Level 80,India,408739
436,hucruz,Level 80,Mexico,408290
437,jafar_rizvi,Level 80,Pakistan,407601
438,vivek5,Level 80,United States,405550
439,cafaray,Level 80,Mexico,404423
440,yashar,Level 80,Iran (Islamic Republic of),403178
441,saeed_odak,Level 80,Iran (Islamic Republic of),402438
442,tyler_s16,Level 80,United States,402228
443,huy_n151,Level 80,Vietnam,401588
444,florinpop17,Level 80,Romania,401535
445,Dimitris_K,Level 80,Greece,401303
446,finnhealy,Level 80,United Kingdom,401235
447,frank_v6,Level 80,United States,400900
448,kat_ori,Level 80,Poland,400110
449,ivanborquez,Level 80,Mexico,399450
450,giorgikob,Level 80,Georgia,399079
451,tapas,Level 80,United States,398399
452,potato45,Level 80,United States,398182
453,RJ_RT,Level 80,India,397788
454,jediking,Level 80,United States,397594
455,long_t29,Level 80,Vietnam,397562
456,richard_h9,Level 80,Germany,397541
457,wecando,Level 80,Vietnam,397067
458,7dan,Level 80,Mexico,395750
459,lolasd,Level 80,Serbia,395625
460,copypaste_fjs,Level 80,Vietnam,394743
461,dyominov,Level 80,Unknown Country,393961
462,adavis,Level 80,United States,392330
463,louisrivera,Level 80,United States,391902
464,duc_huy,Level 80,Vietnam,390708
465,angelov,Level 80,Bulgaria,389937
466,andrewnguyen,Level 80,United States,389415
467,linh_ptit,Level 80,Vietnam,387258
468,laert,Level 80,Armenia,387132
469,helo,Level 80,United States,384645
470,suraj20,Level 80,India,384399
471,kajarenc,Level 80,Armenia,383970
472,SourMongoose,Level 80,United States,382915
473,dorf_dorfman,Level 80,United States,382425
474,jpotterh,Level 80,Cuba,382219
475,cerkiewny,Level 80,Poland,381810
476,michael_l85,Level 80,United States,381362
477,__marcog__,Level 80,Unknown Country,380808
478,boba,Level 80,United States,380075
479,yans0o0o0o0,Level 80,United States,379860
480,rj_l1,Level 80,United States,378942
481,michalmietli,Level 80,Poland,377684
482,shankar4,Level 80,India,376741
483,kai_a2,Level 80,United States,376715
484,david_h41,Level 80,Armenia,375222
485,peng_c1,Level 80,United States,374358
486,yakutovd,Level 80,Russian Federation,372641
487,alexchar,Level 80,Greece,372345
488,ap_rodigy,Level 80,United States,372188
489,winstonsmith,Level 80,United States,371355
490,daviddefdef,Level 80,Austria,370594
491,dkorbut,Level 80,Russian Federation,370583
492,quang_bui,Level 80,Vietnam,370501
493,super_me,Level 80,Vietnam,370313
494,zdzc,Level 80,Indonesia,370101
495,hunganh_p,Level 80,Vietnam,369939
496,Tigran,Level 80,United States,369289
497,nullie,Level 80,Russian Federation,369252
498,mark_b51,Level 80,United States,368827
499,magdy_hasan,Level 80,Egypt,368815
500,Sparik,Level 80,Armenia,368810
501,vdn1999,Level 80,Vietnam,368714
502,Samsonau,Level 80,Belarus,368522
503,sietlas,Level 80,Lithuania,368152
504,Bardak,Level 80,Ukraine,366814
505,souldexless,Level 80,United States,366573
506,yogesh_mangnaik,Level 80,India,365495
507,anh_tai_t,Level 80,Vietnam,365066
508,DimaPhil,Level 80,Russian Federation,364601
509,kort,Level 80,Morocco,363597
510,JJJPPP,Level 80,Holy See,363432
511,novopashinwm,Level 80,Russian Federation,363278
512,iman12,Level 80,Iran (Islamic Republic of),363239
513,etotheipi1,Level 80,Canada,362797
514,account,Level 80,Poland,361482
515,ludwig_d,Level 80,Moldova (Republic of),360754
516,mergesort,Level 80,United States,360327
517,Marius_I_2,Level 80,Romania,359857
518,manan_pandya,Level 80,Australia,359736
519,wave-particle,Level 80,United States,359593
520,dung_l2,Level 80,Vietnam,358952
521,Deeps,Level 80,India,358740
522,__sj__,Level 80,France,358275
523,greencis,Level 80,Belarus,357658
524,open_source_guy,Level 80,Germany,357083
525,suyuz0629,Level 80,United States,356893
526,junbjn98,Level 80,Vietnam,355700
527,john_c77,Level 80,United States,355445
528,mikron,Level 80,Armenia,355265
529,bad_jokes,Level 80,India,354683
530,wjm,Level 80,Singapore,354556
531,우현_박1,Level 80,Korea (Republic of),354556
532,ryanplusplus,Level 80,United States,354133
533,vovanstrr,Level 80,Kazakhstan,354100
534,song_tinh_cam,Level 80,Vietnam,354092
535,anthony_m10,Level 80,United States,354021
